,Caller_ID,Session,First_Name,Last_Name,Street,City,Address,Zipcode,Email,Incoming_Phone,Contact_Phone,Test_Control,In_Co,In_Em,Indexinco,Indexinem,Res_Index,Caller_ID,Session,First_Name,Last_Name,Street,City,Address,Zipcode,Email,Incoming_Phone,Contact_Phone,Test_Control,In_Co,In_Em,Res_Index,Date_Time_Res,Date_Time_Aban,Days_in_Between
4220,47618356SNQOSJJP,2014.01.20 19:43:32,Houston,Zieme,,,IA,22215-6354,ingchunyliu@walla.com,(616)-613-2340,(810)-949-8052,test,(616)-613-2340(810)-949-8052,(616)-613-2340ingchunyliu@walla.com,62,62,62,81217442ZHUKODJY,2014.04.14 18:12:41,Margarita,Schowalter,,,OK,77715,ingchunyliu@walla.com,(616)-613-2340,(810)-949-8052,test,(616)-613-2340(810)-949-8052,(616)-613-2340ingchunyliu@walla.com,62,4/14/2014,1/20/2014,84
4222,18526731OOACLFAX,2014.01.20 19:52:45,Arne,,,,,,,(209)-152-0436,(209)-152-0436,test,(209)-152-0436(209)-152-0436,(209)-152-0436,63,63,63,23509589WOAUFPDT,2014.03.17 00:33:32,Jeff-Test-ID-4213,WebTest,63971 Claire Points,South Abelland,CA,84043,,(209)-152-0436,(209)-152-0436,test,(209)-152-0436(209)-152-0436,(209)-152-0436,63,3/17/2014,1/20/2014,55
4351,30458567ETVTYNHJ,2014.01.21 06:48:35,Sarah,,,,,,,(308)-311-6129,(308)-311-6129,test,(308)-311-6129(308)-311-6129,(308)-311-6129,64,64,64,98543123YORFEZNS,2014.03.03 03:16:29,Cecilia,McLaughlin,,,TN,61416-3801,,(308)-311-6129,(308)-311-6129,test,(308)-311-6129(308)-311-6129,(308)-311-6129,64,3/3/2014,1/21/2014,41
4353,86656099EEQDYCHL,2014.01.21 06:59:30,Golden,Zemlak,25752 Cummings Lodge,Port Zakary,NH,36659,atmcustomercare171@gmail.com,(352)-031-9389,(352)-031-9389,control,(352)-031-9389(352)-031-9389,(352)-031-9389atmcustomercare171@gmail.com,65,65,65,72470549ZHXARTRI,2014.02.28 03:23:14,Benjamin,Goldner,5339 Hirthe Crossing,Dietrichborough,OR,50472-0280,atmcustomercare171@gmail.com,(352)-031-9389,(352)-031-9389,control,(352)-031-9389(352)-031-9389,(352)-031-9389atmcustomercare171@gmail.com,65,2/28/2014,1/21/2014,38
4485,81250302IVJBVFQN,2014.01.21 18:18:58,Myron,,,,,,,(443)-104-1460,(443)-104-1460,test,(443)-104-1460(443)-104-1460,(443)-104-1460,66,0,66,56551102DRYSXUGQ,2014.03.17 08:59:59,Annamarie,Weber,,,IL,71131,jlhulen@yahoo.com.cn,(443)-104-1460,(443)-104-1460,test,(443)-104-1460(443)-104-1460,(443)-104-1460jlhulen@yahoo.com.cn,66,3/17/2014,1/21/2014,55
4490,79088836FRKPVSCN,2014.01.21 18:47:47,Iliana,Roob,,,ME,,,(360)-306-5132,(360)-306-5132,test,(360)-306-5132(360)-306-5132,(360)-306-5132,67,0,67,25053734KZCZCSAS,2014.03.17 10:26:12,Junior,Franecki,2925 Walker Trail,Jerroldland,MN,52460,jamesmoyo2010@gmail.com,(360)-306-5132,(360)-306-5132,test,(360)-306-5132(360)-306-5132,(360)-306-5132jamesmoyo2010@gmail.com,67,3/17/2014,1/21/2014,55
4525,11787571TBZSOISX,2014.01.21 21:35:12,Dolly,,,,IA,,,(617)-996-4849,(617)-996-4849,test,(617)-996-4849(617)-996-4849,(617)-996-4849,68,68,68,04727670JZFLXTMA,2014.03.17 14:29:11,Hazel,,,,,,,(617)-996-4849,(617)-996-4849,test,(617)-996-4849(617)-996-4849,(617)-996-4849,68,3/17/2014,1/21/2014,55
4579,42048763DFXHZJEY,2014.01.22 02:03:04,Herminio,,,,,,,(209)-512-7516,(209)-512-7516,test,(209)-512-7516(209)-512-7516,(209)-512-7516,69,69,69,61262303OPJWSMDV,2014.03.17 21:09:38,Drake,,,,DE,,,(209)-512-7516,(209)-512-7516,test,(209)-512-7516(209)-512-7516,(209)-512-7516,69,3/17/2014,1/22/2014,55
4589,99426446OQZDSRWM,2014.01.22 02:49:54,Rylan,,,,ND,,,(412)-699-8447,(412)-699-8447,test,(412)-699-8447(412)-699-8447,(412)-699-8447,70,70,70,53035610VNQVZIAG,2014.03.17 22:21:39,Baron,,,,,,,(412)-699-8447,(412)-699-8447,test,(412)-699-8447(412)-699-8447,(412)-699-8447,70,3/17/2014,1/22/2014,55
4613,42428105YUOXDJUG,2014.01.22 04:51:35,Emile,,,,,,,(430)-978-9450,(430)-978-9450,test,(430)-978-9450(430)-978-9450,(430)-978-9450,71,0,71,80444742OILYHOAB,2014.03.18 02:07:29,Max,Hermiston,,,IA,,ecsynagogue@btconnect.com,(430)-978-9450,(430)-978-9450,test,(430)-978-9450(430)-978-9450,(430)-978-9450ecsynagogue@btconnect.com,71,3/18/2014,1/22/2014,55
4716,83652058ZWIKYLEO,2014.01.22 13:33:23,Sylvester,,,,,,,(863)-149-4009,(863)-149-4009,test,(863)-149-4009(863)-149-4009,(863)-149-4009,72,72,72,45990654JSADBAFM,2014.02.13 03:11:31,Lennie,,,,WI,,,(863)-149-4009,(863)-149-4009,test,(863)-149-4009(863)-149-4009,(863)-149-4009,72,2/13/2014,1/22/2014,22
4734,06779516LZYUKSNF,2014.01.22 15:09:11,,,,,,,,(878)-979-4443,(878)-979-4443,control,(878)-979-4443(878)-979-4443,(878)-979-4443,73,0,73,65546331DWNHGPSH,2014.03.19 06:39:03,Sedrick,Prosacco,,,AL,57625,jane-wong1@live.com,(878)-979-4443,(878)-979-4443,control,(878)-979-4443(878)-979-4443,(878)-979-4443jane-wong1@live.com,73,3/19/2014,1/22/2014,56
4761,06347532WAOWUTLI,2014.01.22 17:30:04,Alvis,,,,SD,77172,,(217)-297-0510,(575)-116-0515,test,(217)-297-0510(575)-116-0515,(217)-297-0510,74,0,74,29227311QTFNKMUJ,2014.03.19 07:59:58,Alessandra,Nikolaus,,,DE,34994,mr.chen063@hotmail.com,(217)-297-0510,(575)-116-0515,test,(217)-297-0510(575)-116-0515,(217)-297-0510mr.chen063@hotmail.com,74,3/19/2014,1/22/2014,56
4767,66193551WESPQTOL,2014.01.22 18:00:14,,,,,,,,(435)-595-8626,(435)-595-8626,test,(435)-595-8626(435)-595-8626,(435)-595-8626,75,75,75,31562987OYYYWAZK,2014.03.19 10:25:05,Ali,Spencer,,,CT,31758,,(435)-595-8626,(435)-595-8626,test,(435)-595-8626(435)-595-8626,(435)-595-8626,75,3/19/2014,1/22/2014,56
4858,32103307LIVKSAQN,2014.01.23 01:27:19,Brice,,,,,,,(929)-036-8291,(929)-036-8291,control,(929)-036-8291(929)-036-8291,(929)-036-8291,76,76,76,09560956TIZULNEC,2014.02.25 23:04:04,Adrain,,,,MN,,,(929)-036-8291,(929)-036-8291,control,(929)-036-8291(929)-036-8291,(929)-036-8291,76,2/25/2014,1/23/2014,34
4953,55146643EDQRLSMJ,2014.01.23 09:09:08,Polly,,,,,,,(212)-868-1625,(212)-868-1625,control,(212)-868-1625(212)-868-1625,(212)-868-1625,77,77,77,23586873NAJEPRAM,2014.03.20 01:36:57,Delores,,,,MD,,,(212)-868-1625,(212)-868-1625,control,(212)-868-1625(212)-868-1625,(212)-868-1625,77,3/20/2014,1/23/2014,56
5062,14961736DYWMDGWT,2014.01.23 18:04:37,Jeff,Stehr,,,,,,(682)-322-4645,(682)-322-4645,control,(682)-322-4645(682)-322-4645,(682)-322-4645,78,0,78,29322511JEJCIVEN,2014.03.17 22:52:42,Leatha,Eichmann,,,AZ,29147,atlantico.manager2009@gmail.com,(682)-322-4645,(682)-322-4645,control,(682)-322-4645(682)-322-4645,(682)-322-4645atlantico.manager2009@gmail.com,78,3/17/2014,1/23/2014,53
5127,09931778JDHGHZLS,2014.01.23 23:47:40,Ubaldo,,,,NH,,,(215)-838-3760,(215)-838-3760,control,(215)-838-3760(215)-838-3760,(215)-838-3760,79,79,79,17998282DKKDQBMM,2014.03.22 05:10:37,Leonor,Collier,,,,,,(215)-838-3760,(215)-838-3760,control,(215)-838-3760(215)-838-3760,(215)-838-3760,79,3/22/2014,1/23/2014,57
5268,66437889CIKXLKKG,2014.01.24 19:18:53,Chester,Trantow,,,MN,91672,dvmark65@presidency.com,,(414)-589-6618,test,(414)-589-6618,dvmark65@presidency.com,80,0,80,77145296ATGFCDXE,2014.04.12 13:07:48,Theodora,Cartwright,,,OH,48819,revwisdomsmith2011@live.com,,(414)-589-6618,test,(414)-589-6618,revwisdomsmith2011@live.com,80,4/12/2014,1/24/2014,78
5297,67658305JXHXWPTT,2014.01.25 09:27:07,Zander,O'Keefe,15503 Walker Ferry,Hackettberg,OH,40272,reg.kares@club-internet.fr,,(214)-624-6310,test,(214)-624-6310,reg.kares@club-internet.fr,81,0,81,83629918NJDXYEIF,2014.04.01 08:05:13,Keshawn,Metz,78244 Maximilian Run,Rosenbaumville,NH,99430,reg.kares@club-internet.fr,(214)-624-6310,,test,(214)-624-6310,(214)-624-6310reg.kares@club-internet.fr,81,4/1/2014,1/25/2014,66
5312,85513135SVKYCVOC,2014.01.25 11:16:16,Annamarie,Mraz,3812 Cummerata Mountain,Leilaborough,ND,50504,tranferfundunit_rbs@9.cn,,(602)-175-3466,control,(602)-175-3466,tranferfundunit_rbs@9.cn,82,0,82,35814969OVOOXENX,2014.03.19 14:58:36,Larue,Turner,,,NJ,14617-0054,claims_pga12@live.com,(602)-175-3466,,control,(602)-175-3466,(602)-175-3466claims_pga12@live.com,82,3/19/2014,1/25/2014,53
5366,77169715JUKXATFD,2014.01.26 14:49:55,Florida,,,,,,,(502)-923-7583,(502)-923-7583,test,(502)-923-7583(502)-923-7583,(502)-923-7583,83,0,83,35504287IJUZKWGG,2014.02.14 19:45:30,Vince,Cruickshank,,,NC,60110,ipbn2006@web2mail.com,(502)-923-7583,(502)-923-7583,test,(502)-923-7583(502)-923-7583,(502)-923-7583ipbn2006@web2mail.com,83,2/14/2014,1/26/2014,19
5384,32917633HOSCTTYC,2014.01.26 16:20:58,Pierre,,,,SC,,,(413)-335-1175,(413)-335-1175,test,(413)-335-1175(413)-335-1175,(413)-335-1175,84,84,84,75837427SVAAXVWY,2014.03.29 04:16:10,Therese,,,,OK,,,(413)-335-1175,(413)-335-1175,test,(413)-335-1175(413)-335-1175,(413)-335-1175,84,3/29/2014,1/26/2014,61
5535,75903472JJHBHXLP,2014.01.28 00:55:21,Elroy,,,,,,,(269)-387-9928,(269)-387-9928,test,(269)-387-9928(269)-387-9928,(269)-387-9928,85,0,85,58699394YEJHGLLW,2014.04.01 02:06:12,Mackenzie,Ward,,,GA,11491-7625,chrisalabi775@gmail.com,(269)-387-9928,(269)-387-9928,test,(269)-387-9928(269)-387-9928,(269)-387-9928chrisalabi775@gmail.com,85,4/1/2014,1/28/2014,63
5633,21038246TJAPGCIR,2014.01.28 09:06:08,Myles,,,,,,,(405)-894-3424,(405)-894-3424,test,(405)-894-3424(405)-894-3424,(405)-894-3424,86,0,86,96573641NRVCRYML,2014.03.08 11:43:51,Rory,Harvey,,,TX,,info_westernunion2@yahoo.com,(405)-894-3424,(405)-894-3424,test,(405)-894-3424(405)-894-3424,(405)-894-3424info_westernunion2@yahoo.com,86,3/8/2014,1/28/2014,39
5785,56817372NOWXHZPK,2014.01.28 21:35:57,Stanton,,,,,,,(804)-359-9484,(804)-359-9484,control,(804)-359-9484(804)-359-9484,(804)-359-9484,87,87,87,36636076ASUIBUUV,2014.04.02 21:49:06,Pietro,Zemlak,,,GA,,,(804)-359-9484,(804)-359-9484,control,(804)-359-9484(804)-359-9484,(804)-359-9484,87,4/2/2014,1/28/2014,64
5868,28502212AMSABBKV,2014.01.29 04:31:23,Cali,Block,,,CO,,jean_kouame005@yahoo.co.jp,(848)-797-0034,(848)-797-0034,control,(848)-797-0034(848)-797-0034,(848)-797-0034jean_kouame005@yahoo.co.jp,88,88,88,76055950KKAJORVV,2014.04.01 19:17:59,Arthur,Powlowski,,,NH,74672,jean_kouame005@yahoo.co.jp,(848)-797-0034,(848)-797-0034,control,(848)-797-0034(848)-797-0034,(848)-797-0034jean_kouame005@yahoo.co.jp,88,4/1/2014,1/29/2014,63
5938,09183365WJCPOUUH,2014.01.29 10:27:16,,,,,,,,(361)-805-8235,(361)-805-8235,test,(361)-805-8235(361)-805-8235,(361)-805-8235,89,89,89,08533322CEFVEYNC,2014.04.04 11:35:17,Dustin,Bradtke,,,OH,,,(361)-805-8235,(361)-805-8235,test,(361)-805-8235(361)-805-8235,(361)-805-8235,89,4/4/2014,1/29/2014,65
5944,81947658KLKFQCCT,2014.01.29 10:53:36,Chaya,,,,,,,(682)-247-3415,(682)-247-3415,test,(682)-247-3415(682)-247-3415,(682)-247-3415,90,0,90,54404934SVRIZNUO,2014.02.07 11:15:38,Dee,Marks,,,WI,19337-2962,greenstarexpress@whitianga.com,(682)-247-3415,(682)-247-3415,test,(682)-247-3415(682)-247-3415,(682)-247-3415greenstarexpress@whitianga.com,90,2/7/2014,1/29/2014,9
6013,55851556PKHIOZPJ,2014.01.29 16:42:01,Ulises,,,,FL,,,(386)-101-0410,,test,(386)-101-0410,(386)-101-0410,91,0,91,38719612ZZTKMVBP,2014.03.28 21:17:31,Jacquelyn,Pfannerstill,5434 Hickle Ramp,Hassiefort,WV,18529,xxxxxxxxxxxxx20000@att.net,(386)-101-0410,,test,(386)-101-0410,(386)-101-0410xxxxxxxxxxxxx20000@att.net,91,3/28/2014,1/29/2014,58
6089,22792983ALIPFJZJ,2014.01.29 23:15:48,Louie,,,,WV,81714-7891,,(203)-383-0679,(413)-746-0707,test,(203)-383-0679(413)-746-0707,(203)-383-0679,92,92,92,98217194KURGNHIE,2014.04.06 06:13:27,Peyton,,,,OR,54034,,(203)-383-0679,(413)-746-0707,test,(203)-383-0679(413)-746-0707,(203)-383-0679,92,4/6/2014,1/29/2014,66
6252,44645164YXKKQXUN,2014.01.30 12:52:12,Ceasar,Buckridge,,,HI,,,(415)-148-2815,(415)-148-2815,test,(415)-148-2815(415)-148-2815,(415)-148-2815,93,0,93,72461257ZNXLZBKZ,2014.04.02 11:14:57,Tatum,Beier,,,VT,,willi4_c@yahoo.co.jp,(415)-148-2815,(415)-148-2815,test,(415)-148-2815(415)-148-2815,(415)-148-2815willi4_c@yahoo.co.jp,93,4/2/2014,1/30/2014,62
6259,96563745LTJFWCJQ,2014.01.30 13:26:09,Justus,Pfannerstill,,,MN,,,(803)-956-0066,(803)-956-0066,test,(803)-956-0066(803)-956-0066,(803)-956-0066,94,94,94,22523283RJRHZXES,2014.04.07 18:15:19,Jamir,Champlin,,,IN,,,(803)-956-0066,(803)-956-0066,test,(803)-956-0066(803)-956-0066,(803)-956-0066,94,4/7/2014,1/30/2014,67
6288,24956263EGRRNZHS,2014.01.30 15:54:01,Marcia,,,,,,,(321)-194-4022,(321)-194-4022,test,(321)-194-4022(321)-194-4022,(321)-194-4022,95,0,95,39712705STMTSNCX,2014.04.08 01:59:55,Mac,Herzog,23908 Lavon Row,Lake Vedafort,HI,49334,lucygaloma@yahoo.com,(321)-194-4022,(321)-194-4022,test,(321)-194-4022(321)-194-4022,(321)-194-4022lucygaloma@yahoo.com,95,4/8/2014,1/30/2014,67
6316,79222550INSFQFPA,2014.01.30 18:01:31,Kamren,Bayer,933 Consuelo Walk,Leuschkefurt,TN,41410-7043,,(931)-046-4241,(931)-046-4241,test,(931)-046-4241(931)-046-4241,(931)-046-4241,96,0,96,25828496CZYCXWXU,2014.03.10 21:39:54,Kirk,Jacobson,7905 Champlin Springs,West Hardy,IN,95359,agent_williammoore_claims@yahoo.co.uk,(931)-046-4241,(931)-046-4241,test,(931)-046-4241(931)-046-4241,(931)-046-4241agent_williammoore_claims@yahoo.co.uk,96,3/10/2014,1/30/2014,39
6352,67149817FWWMXUBI,2014.01.30 20:57:42,Kobe,Nolan,,,WV,,,(321)-679-3741,(321)-679-3741,test,(321)-679-3741(321)-679-3741,(321)-679-3741,97,97,97,63752389LXPWZVPE,2014.04.08 22:07:38,Lorena,Howell,,,NY,,,(321)-679-3741,(321)-679-3741,test,(321)-679-3741(321)-679-3741,(321)-679-3741,97,4/8/2014,1/30/2014,68
6353,48660244CRIOJBXW,2014.01.30 21:01:25,Zelda,,,,DE,,,(920)-924-8443,(920)-924-8443,test,(920)-924-8443(920)-924-8443,(920)-924-8443,98,0,98,76410853CDWZOHFQ,2014.04.08 23:30:52,Demarcus,Stark,,,NV,,capt.dwood24@msn.com,(920)-924-8443,(920)-924-8443,test,(920)-924-8443(920)-924-8443,(920)-924-8443capt.dwood24@msn.com,98,4/8/2014,1/30/2014,68
6464,05316349LUTRWLTR,2014.01.31 06:12:05,Mervin,Tremblay,,,RI,,,(810)-259-3963,(810)-259-3963,test,(810)-259-3963(810)-259-3963,(810)-259-3963,99,99,99,07590629NEHKDIPG,2014.04.09 12:14:09,Antwan,Boyle,,,NC,,,(810)-259-3963,(810)-259-3963,test,(810)-259-3963(810)-259-3963,(810)-259-3963,99,4/9/2014,1/31/2014,68
6589,81801918BMCTGPZK,2014.01.31 16:47:38,,,,,,,,(765)-788-0104,(765)-788-0104,test,(765)-788-0104(765)-788-0104,(765)-788-0104,100,0,100,44548218UAMYOQNF,2014.02.05 14:59:50,Tara,Cummings,,,WA,22475,diplomabureau@mail2webmaster.com,(765)-788-0104,(765)-788-0104,test,(765)-788-0104(765)-788-0104,(765)-788-0104diplomabureau@mail2webmaster.com,100,2/5/2014,1/31/2014,5
6630,55271288LSZVXNDN,2014.02.01 07:11:59,Lexi,Purdy,,,CA,90496,sarafnaden@yahoo.cn,,(678)-004-6224,test,(678)-004-6224,sarafnaden@yahoo.cn,101,101,101,93249000EKPUYWLT,2014.03.27 16:09:02,Santos,Bayer,,,HI,73773-5004,sarafnaden@yahoo.cn,,(678)-004-6224,test,(678)-004-6224,sarafnaden@yahoo.cn,101,3/27/2014,2/1/2014,54
6633,59514705BPXPNSYA,2014.02.01 08:37:16,Tito,Hartmann,,,UT,50168,emily.queen22@yahoo.com,,(860)-434-6592,test,(860)-434-6592,emily.queen22@yahoo.com,102,0,102,98143513TBIOFBHF,2014.04.20 22:01:21,Lurline,Rosenbaum,,,RI,88996,emily.queen22@yahoo.com,(860)-434-6592,,test,(860)-434-6592,(860)-434-6592emily.queen22@yahoo.com,102,4/20/2014,2/1/2014,79
6657,43423964JLQKANEH,2014.02.01 18:08:43,Rhiannon,Wiegand,,,,,,(772)-667-5196,(772)-667-5196,test,(772)-667-5196(772)-667-5196,(772)-667-5196,103,0,103,41778935BSJTRYZH,2014.03.21 23:45:13,Lurline,D'Amore,,,MO,80096,mr.bencorolla34@gmail.com,(772)-667-5196,(772)-667-5196,test,(772)-667-5196(772)-667-5196,(772)-667-5196mr.bencorolla34@gmail.com,103,3/21/2014,2/1/2014,48
6703,34611398KGWJBJUG,2014.02.01 22:13:19,Jarrett,,,,NE,,,(228)-321-3425,(228)-321-3425,control,(228)-321-3425(228)-321-3425,(228)-321-3425,104,0,104,46689475BQFQHNPS,2014.04.10 07:34:03,Lucius,Mann,,,IN,20851,mmustapha_31@hotmail.com,(228)-321-3425,(228)-321-3425,control,(228)-321-3425(228)-321-3425,(228)-321-3425mmustapha_31@hotmail.com,104,4/10/2014,2/1/2014,67
6916,44697959JFYISHWU,2014.02.02 15:54:45,Mortimer,Effertz,,,VT,,,(717)-965-5247,(717)-965-5247,test,(717)-965-5247(717)-965-5247,(717)-965-5247,105,105,105,32173883QCTSAYNT,2014.04.17 11:28:42,Alaina,Mayer,,,MN,,,(717)-965-5247,(717)-965-5247,test,(717)-965-5247(717)-965-5247,(717)-965-5247,105,4/17/2014,2/2/2014,74
7077,99013147UOKBUQKI,2014.02.03 05:29:36,Simone,,,,RI,,,(443)-050-7438,(443)-050-7438,test,(443)-050-7438(443)-050-7438,(443)-050-7438,106,106,106,50046917FLRTVHPG,2014.04.18 07:55:28,Jaunita,Schiller,,,,,,(443)-050-7438,(443)-050-7438,test,(443)-050-7438(443)-050-7438,(443)-050-7438,106,4/18/2014,2/3/2014,74
7116,99999205YRSSYIHS,2014.02.03 08:45:30,Noemy,,,,NC,,,(319)-555-0156,(319)-555-0156,test,(319)-555-0156(319)-555-0156,(319)-555-0156,107,0,107,05461608EVRTYVWK,2014.03.15 09:51:54,Elouise,Huel,,,KS,65875,gbbok09@aol.co.uk,(319)-555-0156,(319)-555-0156,test,(319)-555-0156(319)-555-0156,(319)-555-0156gbbok09@aol.co.uk,107,3/15/2014,2/3/2014,40
7149,73168175TUUKABQE,2014.02.03 11:28:26,Eloise,,,,,,,(207)-726-7898,(207)-726-7898,test,(207)-726-7898(207)-726-7898,(207)-726-7898,108,0,108,91961689ANTNVPFY,2014.04.20 05:10:09,Santino,Flatley,,,FL,64461,tom_box1@yahoo.co.uk,(207)-726-7898,(207)-726-7898,test,(207)-726-7898(207)-726-7898,(207)-726-7898tom_box1@yahoo.co.uk,108,4/20/2014,2/3/2014,76
7230,32404227UDOVEJFT,2014.02.03 18:12:34,Urban,,,,SC,,,(909)-846-4261,(909)-846-4261,test,(909)-846-4261(909)-846-4261,(909)-846-4261,109,0,109,15295469ZCLASKKN,2014.04.20 23:26:43,Lauriane,Bartoletti,,,,,john.obi099@yahoo.com,(909)-846-4261,(909)-846-4261,test,(909)-846-4261(909)-846-4261,(909)-846-4261john.obi099@yahoo.com,109,4/20/2014,2/3/2014,76
7233,73146393ZWTZJMCA,2014.02.03 18:25:23,Brando,Hamill,,,VA,,,(229)-325-4154,(229)-325-4154,test,(229)-325-4154(229)-325-4154,(229)-325-4154,110,110,110,79748300AHSCHTAC,2014.03.21 03:55:59,Autumn,Stehr,,,,,,(229)-325-4154,(229)-325-4154,test,(229)-325-4154(229)-325-4154,(229)-325-4154,110,3/21/2014,2/3/2014,45
212,72535168IUDJYABX,2014.01.06 21:51:20,Deontae,,,,,,,(385)-720-2094,(423)-618-4176,test,(385)-720-2094(423)-618-4176,(385)-720-2094,0,111,111,98840679LDLDQASC,2014.02.06 05:24:11,Marcus,Gutkowski,147 Sherwood Plain,,NY,,,(385)-720-2094,(248)-169-6080,test,(385)-720-2094(248)-169-6080,(385)-720-2094,111,2/6/2014,1/6/2014,30
323,81997214OOEKQCCZ,2014.01.07 07:04:56,Kaitlin,,,,MI,,,(270)-976-8746,(270)-976-8746,test,(270)-976-8746(270)-976-8746,(270)-976-8746,0,112,112,43461395QNUVRVXF,2014.02.07 04:42:31,Agustin,Koepp,,,TX,,,(270)-976-8746,,test,(270)-976-8746,(270)-976-8746,112,2/7/2014,1/7/2014,31
354,29788310DXSYOYWT,2014.01.07 09:40:59,Sincere,Denesik,,,OR,75963-5199,paulobi444@gmail.com,(615)-690-7091,(615)-690-7091,test,(615)-690-7091(615)-690-7091,(615)-690-7091paulobi444@gmail.com,0,113,113,60663181HOGGBQYS,2014.02.07 06:49:35,Loy,Nader,,,AL,67709,paulobi444@gmail.com,(615)-690-7091,,test,(615)-690-7091,(615)-690-7091paulobi444@gmail.com,113,2/7/2014,1/7/2014,31
436,02097717MEMMKLLQ,2014.01.07 16:24:07,Bradly,Little,,,NE,,antifraudefcc_ng@aol.in,(321)-492-4457,(321)-492-4457,test,(321)-492-4457(321)-492-4457,(321)-492-4457antifraudefcc_ng@aol.in,0,114,114,76211951FCZYTCVN,2014.02.08 08:51:24,Dillon,Quitzon,,,AK,46695-9066,antifraudefcc_ng@aol.in,(321)-492-4457,,test,(321)-492-4457,(321)-492-4457antifraudefcc_ng@aol.in,114,2/8/2014,1/7/2014,32
493,67640095KCGNLQMI,2014.01.07 21:06:24,Janice,Kreiger,,,NJ,,hpham0806@yahoo.com.hk,(410)-262-5411,(410)-262-5411,test,(410)-262-5411(410)-262-5411,(410)-262-5411hpham0806@yahoo.com.hk,0,116,116,41117943EVEVTXWB,2014.02.08 19:20:49,Alexzander,McLaughlin,,,WI,92791,hpham0806@yahoo.com.hk,(410)-262-5411,,test,(410)-262-5411,(410)-262-5411hpham0806@yahoo.com.hk,116,2/8/2014,1/7/2014,32
657,16265394UDPSUFYZ,2014.01.08 11:01:06,Guillermo,Murray,,,WV,96630-9481,rev.franceskukah@earthlink.net,(904)-180-2988,(904)-180-2988,test,(904)-180-2988(904)-180-2988,(904)-180-2988rev.franceskukah@earthlink.net,0,117,117,71075694NLGBKGTK,2014.02.12 19:12:57,Parker,Ortiz,,,MA,38349,rev.franceskukah@earthlink.net,(904)-180-2988,,test,(904)-180-2988,(904)-180-2988rev.franceskukah@earthlink.net,117,2/12/2014,1/8/2014,35
666,61241636URVIAPSL,2014.01.08 11:43:51,Christ,Cummerata,611 Dietrich Plains,North Dixiebury,ND,61906-9360,mrs_chloe_oliver_fa@live.com,(424)-889-0697,(424)-889-0697,control,(424)-889-0697(424)-889-0697,(424)-889-0697mrs_chloe_oliver_fa@live.com,0,118,118,48118162DVITZDYI,2014.02.09 01:45:56,Octavia,Skiles,983 Celestino Ranch,South Cyril,NY,53924,mrs_chloe_oliver_fa@live.com,(424)-889-0697,,control,(424)-889-0697,(424)-889-0697mrs_chloe_oliver_fa@live.com,118,2/9/2014,1/8/2014,32
677,37659932KLBDNUYS,2014.01.08 12:36:14,Norris,Brakus,,,NE,92171-7018,steve.franciss31@yahoo.com.ph,(813)-361-5893,(813)-361-5893,test,(813)-361-5893(813)-361-5893,(813)-361-5893steve.franciss31@yahoo.com.ph,0,119,119,90061617TSRFULZQ,2014.02.14 20:36:39,Salvatore,Willms,,,WA,23836,steve.franciss31@yahoo.com.ph,(813)-361-5893,,test,(813)-361-5893,(813)-361-5893steve.franciss31@yahoo.com.ph,119,2/14/2014,1/8/2014,37
908,17499291JKAWZZXU,2014.01.09 07:44:48,Sydnie,Yundt,,,SC,14040-9698,ayo_bami35@yahoo.co.in,(413)-905-2389,(413)-905-2389,test,(413)-905-2389(413)-905-2389,(413)-905-2389ayo_bami35@yahoo.co.in,0,120,120,57259418DGVFUZNW,2014.02.12 18:37:15,Carlo,Christiansen,,,MN,65233-8171,ayo_bami35@yahoo.co.in,(413)-905-2389,,test,(413)-905-2389,(413)-905-2389ayo_bami35@yahoo.co.in,120,2/12/2014,1/9/2014,34
944,34919513EBIHLTRE,2014.01.09 10:44:16,Oliver,Veum,2535 Tara Circles,New Daisha,VA,79688,markchrist20@yahoo.com,(272)-998-4087,(272)-998-4087,test,(272)-998-4087(272)-998-4087,(272)-998-4087markchrist20@yahoo.com,0,121,121,40664577NGYIHXKD,2014.02.16 18:10:32,Marguerite,Hermann,931 Rosetta Trail,West Kentown,VT,56011,markchrist20@yahoo.com,(272)-998-4087,,test,(272)-998-4087,(272)-998-4087markchrist20@yahoo.com,121,2/16/2014,1/9/2014,38
970,22575106XMTQEMDO,2014.01.09 12:51:36,Roxane,Muller,,,PA,43376-2190,johnboardman25@yahoo.co.uk,(734)-755-0949,(734)-755-0949,test,(734)-755-0949(734)-755-0949,(734)-755-0949johnboardman25@yahoo.co.uk,0,122,122,90597045XIFYHIPB,2014.02.13 09:14:44,Garland,Hyatt,,,MN,78281-7024,johnboardman25@yahoo.co.uk,(734)-755-0949,,test,(734)-755-0949,(734)-755-0949johnboardman25@yahoo.co.uk,122,2/13/2014,1/9/2014,35
984,15099558DQZVTJGN,2014.01.09 14:03:51,Dameon,Okuneva,,,,,atm_payment@excite.com,(914)-871-6752,(914)-871-6752,control,(914)-871-6752(914)-871-6752,(914)-871-6752atm_payment@excite.com,0,123,123,94940771LBRKYLUY,2014.02.05 21:54:20,Ceasar,Osinski,,,MD,82215,atm_payment@excite.com,(914)-871-6752,,control,(914)-871-6752,(914)-871-6752atm_payment@excite.com,123,2/5/2014,1/9/2014,27
